Unnamed: 0.1,Unnamed: 0,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
0,16,H01252857,12.0,FOR000H,7,,,,65.0,280.0,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,64.0,17.0,12.0,,,,,1,1,1,1,0,1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.632556303911581,2.245819031071074,2.0,4.632556303911581,2.245819031071074,,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1135.0,4.478865529687902,17.0,12.0,1.0,2014,8,9999999,1.0,1.0,1.0,1.0,2.8662420382165608,0.0,3.0664395229982966,32.32830820770519,24.24242424242424,33.0593607305936,23.03182579564489,20.2020202020202,23.28767123287671
1,17,H01252857,12.0,FOR000H,7,,,,65.0,280.0,41,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2.0,2,1.0,1.0,1.0,8.754634047431272,99.0,65.0,18.0,13.0,,,,,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.044522437723423,99.0,1.0,3.044522437723423,99.0,,0,1.0,6340.0,8.754634047431272,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,64.0,1135.0,4.478865529687902,17.0,12.0,1.0,2014,9,"49851, 51143, 47941",1.0,,1.0,1.0,3.001579778830964,3.571428571428571,2.975206611570248,27.44769874476988,24.8,27.7570093457944,20.334728033472803,20.8,20.28037383177569
2,19,N00405519,21.0,FOR000H,8,,,,65.0,277.0,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,,,,,,64.0,31.0,22.0,5.751701665818922,0.7049815422732106,8.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.471491832992824,0.0242460363773447,4.0,4.445565089142749,0.1550492204541723,,0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,3098.0,4.805887817898416,31.0,22.0,1.0,2012,5,49851,0.0,0.0,0.0,1.0,2.002002002002002,4.054054054054054,1.8378378378378373,35.483870967741936,35.41666666666667,35.49060542797495,29.411764705882355,31.25,29.227557411273487
3,20,N00405519,22.0,FOR000H,8,,,,65.0,277.0,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,,,,,,64.0,31.0,22.0,5.751701665818922,0.7049815422732106,8.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.471491832992824,0.0242460363773447,4.0,4.445565089142749,0.1550492204541723,,0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,3098.0,4.805887817898416,31.0,22.0,1.0,2012,5,49851,0.0,0.0,0.0,1.0,2.0854021847070507,5.063291139240507,1.8318965517241377,37.67572633552015,34.45378151260504,38.08016877637131,30.2717900656045,27.73109243697479,30.590717299578056
4,21,N00405519,300.0,FOR000H,9,,,,67.0,273.0,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,,,,,,69.0,31.0,22.0,,,,,1,1,0,0,0,1,1.0,0.0,1.0,1.0,5.0,1.0,2.0,5.2688933286434345,0.1634855402626342,3.0,5.580781473285186,0.5524367884579249,,1,,,,,,,,,,,,,,,,,,,,,,,,,69.0,3098.0,4.7711482362866615,31.0,22.0,1.0,2013,5,49851,0.0,0.0,0.0,,3.256302521008404,19.35483870967742,2.714440825190011,38.45446182152714,46.3768115942029,37.91748526522593,29.438822447102115,37.68115942028986,28.880157170923383
5,24,N00414407,21.0,FOR000H,8,,,,97.0,284.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,88.0,48.0,38.0,,,,,0,0,2,1,0,1,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.131241753265797,2.2313339144396616,3.0,5.131241753265797,2.2313339144396616,,0,,,,,,,,,,,,,,,,,,,,,,,,,88.0,4133.0,5.2917128506161015,48.0,38.0,10.0,2013,3,9999999,0.0,1.0,0.0,,4.838709677419355,11.76470588235294,4.717948717948718,33.768352365415986,33.33333333333333,33.78607809847199,25.774877650897228,29.166666666666668,25.636672325976228
6,25,N00414407,300.0,FOR000H,8,,,,97.0,284.0,59,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,1.0,0.0,0.0,3.951243718581428,99.0,90.0,49.0,38.0,,,,,0,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.704811922932594,99.0,1.0,7.704811922932594,99.0,,0,1.0,52.0,3.951243718581428,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,88.0,4133.0,5.2917128506161015,48.0,38.0,10.0,2013,5,49851,1.0,1.0,1.0,1.0,3.333333333333333,19.23076923076924,2.890792291220557,38.45446182152714,46.3768115942029,37.91748526522593,29.438822447102115,37.68115942028986,28.880157170923383
7,26,N00414407,21.0,FOR000H,8,,,,97.0,284.0,99,0,0.0,0,1.0,0.0,0.0,0.0,0.0,3,2.0,3,3.0,1.0,1.0,5.131241753265797,2.2313339144396616,92.0,50.0,39.0,,,,,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,33.0,1,2.0,2219.0,5.721240770607981,1.0,1.0,1.0,,,,,,,1.0,52.0,3.951243718581428,0.0,0.0,0.0,,,,,,,88.0,4133.0,5.2917128506161015,48.0,38.0,10.0,2013,6,47941,1.0,,1.0,1.0,9.624796084828713,3.508771929824561,10.251798561151078,40.87336244541485,40.12738853503185,40.9919028340081,31.79039301310044,31.84713375796178,31.781376518218625
8,27,N00414407,22.0,FOR000H,8,,,,97.0,284.0,100,0,0.0,0,1.0,0.0,0.0,0.0,0.0,3,1.0,3,3.0,1.0,1.0,5.131241753265797,2.2313339144396616,92.0,50.0,39.0,,,,,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,34.0,1,2.0,2219.0,5.721240770607981,1.0,1.0,1.0,,,,,,,1.0,52.0,3.951243718581428,0.0,0.0,0.0,,,,,,,88.0,4133.0,5.2917128506161015,48.0,38.0,10.0,2013,6,47941,1.0,,1.0,1.0,9.75609756097561,5.263157894736842,10.21505376344086,40.87336244541485,40.12738853503185,40.9919028340081,31.79039301310044,31.84713375796178,31.781376518218625
9,29,N00424993,12.0,FOR000H,8,,,,62.0,286.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,64.0,16.0,12.0,,,,,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.986452005284438,99.0,1.0,5.986452005284438,99.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1662.0,4.626396082113266,16.0,12.0,2.0,2012,5,9999999,1.0,,,1.0,2.4615384615384617,3.571428571428571,2.3939064200217626,35.483870967741936,35.41666666666667,35.49060542797495,29.411764705882355,31.25,29.227557411273487
10,30,N00424993,21.0,FOR000H,8,,,,62.0,286.0,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,1.0,1.0,6.148468295917647,99.0,65.0,17.0,13.0,,,,,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.986452005284438,99.0,1.0,5.986452005284438,99.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1662.0,4.626396082113266,16.0,12.0,2.0,2012,5,49851,1.0,,,1.0,2.002002002002002,4.054054054054054,1.8378378378378373,35.483870967741936,35.41666666666667,35.49060542797495,29.411764705882355,31.25,29.227557411273487
11,31,N00428117,11.0,FOR000H,8,,,,84.0,,300,0,0.0,0,2.0,1.0,1.0,0.0,0.0,1,1.0,1,10.0,2.0,2.0,4.666852693701217,1.3708193863402682,78.0,25.0,14.0,,,,,0,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,7.163747754725056,0.4692278422255257,2.0,7.163747754725056,0.4692278422255257,26.0,0,1.0,2400.0,7.783224016336037,1.0,1.0,1.0,1.0,416.0,6.030685260261263,1.0,1.0,0.0,1.0,115.0,4.74493212836325,0.0,0.0,0.0,7.0,134.0,4.01566936172166,0.0,0.0,0.0,69.0,2471.0,4.799153977355651,23.0,12.0,2.0,2012,4,9999999,1.0,,,1.0,2.00845665961945,3.333333333333333,1.9650655021834065,34.73389355742297,35.8974358974359,34.64249748237664,27.63772175536881,29.48717948717949,27.492447129909365
12,33,N01431625,21.0,FOR000H,7,,,,97.0,279.0,99,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,1.0,2,3.0,3.0,3.0,6.060477484904516,0.8017979348143572,79.0,54.0,50.0,,,,,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.741967899820685,99.0,1.0,7.741967899820685,99.0,11.0,0,1.0,1018.0,6.925595197110468,1.0,1.0,1.0,1.0,370.0,5.91350300563827,1.0,1.0,0.0,1.0,209.0,5.342334251964811,1.0,1.0,0.0,,,,,,,76.0,1753.0,5.316678609307808,51.0,47.0,5.0,2012,12,49851,1.0,,,1.0,2.960222016651249,18.75,2.7230046948356805,22.9058561897702,28.000000000000004,22.38562091503268,17.346182357301704,23.200000000000003,16.748366013071895
13,34,N01439656,22.0,FOR000H,6,,,,99.0,272.0,14,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,70.0,60.0,59.0,,,,,1,0,0,0,0,1,1.0,0.0,1.0,0.0,2.0,0.0,2.0,6.914833934319631,0.3632024119722428,3.0,6.638055760571478,0.5438533519445442,,1,,,,,,,,,,,,,,,,,,,,,,,,,70.0,8909.0,6.297663391770371,60.0,59.0,17.0,2012,1,9999999,0.0,0.0,0.0,,5.350194552529183,23.07692307692308,5.123152709359606,32.42784380305603,45.09803921568628,31.8544809228039,26.06112054329372,39.21568627450981,25.465838509316768
14,35,N01439656,12.0,FOR000H,6,,,,99.0,272.0,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,70.0,60.0,59.0,,,,,1,0,0,0,0,1,0.0,0.0,1.0,0.0,2.0,0.0,1.0,6.658011045870748,99.0,2.0,6.371255229472959,0.4055339646391211,,1,,,,,,,,,,,,,,,,,,,,,,,,,70.0,8909.0,6.297663391770371,60.0,59.0,17.0,2012,1,59528,0.0,0.0,0.0,,4.128902316213495,36.36363636363637,3.7678207739307537,30.494037478705284,37.142857142857146,30.07246376811594,24.02044293015332,37.142857142857146,23.18840579710145
15,36,N01447505,22.0,FOR000H,7,,,,91.0,275.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,79.0,24.0,18.0,,,,,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.587817219993427,99.0,1.0,7.587817219993427,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,79.0,3459.0,4.85428821598126,24.0,18.0,2.0,2013,1,9999999,1.0,,,1.0,2.617328519855596,19.35483870967742,2.1355617455896008,32.17967599410898,49.01960784313725,30.756972111553782,25.03681885125184,39.21568627450981,23.824701195219124
16,37,N01447505,21.0,FOR000H,7,,,,91.0,275.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,79.0,24.0,18.0,,,,,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.587817219993427,99.0,1.0,7.587817219993427,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,79.0,3459.0,4.85428821598126,24.0,18.0,2.0,2013,1,49851,1.0,,,1.0,2.617328519855596,19.35483870967742,2.1355617455896008,32.17967599410898,49.01960784313725,30.756972111553782,25.03681885125184,39.21568627450981,23.824701195219124
17,38,N01447505,300.0,FOR000H,7,,,,91.0,275.0,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,79.0,24.0,18.0,,,,,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.587817219993427,99.0,1.0,7.587817219993427,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,79.0,3459.0,4.85428821598126,24.0,18.0,2.0,2013,1,49851,1.0,,,1.0,3.970452446906741,23.33333333333333,3.418803418803419,32.17967599410898,49.01960784313725,30.756972111553782,25.03681885125184,39.21568627450981,23.824701195219124
18,39,N01456259,22.0,FOR000H,7,,,,98.0,283.0,134,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,1.0,1,4.0,3.0,1.0,5.217727130697235,0.8934401345568213,70.0,54.0,44.0,,,,,1,1,1,1,0,1,0.0,0.0,1.0,0.0,2.0,0.0,1.0,8.244071270295786,99.0,3.0,8.028711530973416,0.2177077900127336,22.0,1,1.0,590.0,6.380122536899765,1.0,1.0,0.0,1.0,67.0,4.204692619390966,0.0,0.0,0.0,1.0,162.0,5.087596335232384,1.0,0.0,0.0,1.0,181.0,5.198497031265826,1.0,0.0,0.0,67.0,2482.0,5.778179933674782,51.0,43.0,5.0,2012,2,9999999,0.0,1.0,1.0,,5.020491803278689,10.526315789473683,4.911180773249739,31.200701139351445,40.74074074074074,30.726770929162832,24.45223488168273,38.88888888888889,23.73505059797608
19,40,N01456259,300.0,FOR000H,7,,,,98.0,283.0,140,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,1.0,1,4.0,3.0,1.0,5.217727130697235,0.8934401345568213,70.0,54.0,44.0,,,,,1,1,1,1,0,1,0.0,0.0,1.0,0.0,2.0,0.0,2.0,8.138702643087925,0.1490137416459937,3.0,8.028711530973416,0.2177077900127336,28.0,1,1.0,590.0,6.380122536899765,1.0,1.0,0.0,1.0,67.0,4.204692619390966,0.0,0.0,0.0,1.0,162.0,5.087596335232384,1.0,0.0,0.0,1.0,181.0,5.198497031265826,1.0,0.0,0.0,67.0,2482.0,5.778179933674782,51.0,43.0,5.0,2012,2,"56113, 38696",0.0,,,,5.493387589013224,20.833333333333336,5.109489051094891,31.200701139351445,40.74074074074074,30.726770929162832,24.45223488168273,38.88888888888889,23.73505059797608
20,41,N01456259,11.0,FOR000H,7,,,,98.0,283.0,157,0,0.0,0,3.0,0.0,0.0,0.0,0.0,2,1.0,2,5.0,4.0,2.0,5.368943626931641,0.8443983652250474,71.0,55.0,45.0,,,,,0,0,0,0,0,1,1.0,0.0,1.0,0.0,1.0,0.0,2.0,8.138702643087925,0.1490137416459937,3.0,8.028711530973416,0.2177077900127336,11.0,0,2.0,590.0,6.176966074384513,2.0,2.0,0.0,,,,,,,1.0,67.0,4.204692619390966,0.0,0.0,0.0,2.0,181.0,5.143046683249105,2.0,0.0,0.0,67.0,2482.0,5.778179933674782,51.0,43.0,5.0,2012,2,"38696, 49851",0.0,0.0,0.0,,5.122950819672131,10.0,5.02092050209205,32.96903460837887,40.81632653061224,32.60247855100095,25.40983606557377,32.6530612244898,25.07149666348904
21,42,N02474525,300.0,FOR000H,8,,,,104.0,278.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,72.0,30.0,17.0,7.410951875583635,99.0,1.0,2.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,3.791680585868947,0.6086389341305498,4.0,3.725350570555751,0.5143535604544569,,0,,,,,,,,,,,,,,,,,,,,,,,,,72.0,3084.0,4.706720505414911,30.0,17.0,2.0,2013,4,9999999,0.0,0.0,0.0,1.0,3.466386554621849,8.0,3.344120819848975,34.72696245733788,37.735849056603776,34.584450402144775,26.535836177474405,30.18867924528302,26.36282394995532
22,43,N02474525,11.0,FOR000H,9,,,,77.0,283.0,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,81.0,31.0,18.0,,,,,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,81.0,3084.0,4.668449710939086,31.0,18.0,2.0,2014,4,49851,1.0,1.0,,1.0,4.552352048558421,9.090909090909092,4.395604395604396,27.25880551301684,40.69767441860465,26.311475409836067,19.29555895865237,31.3953488372093,18.442622950819672
23,44,N02474525,11.0,FOR000H,9,,,,77.0,283.0,28,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2.0,2,,,,,,81.0,31.0,18.0,,,,,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,81.0,3084.0,4.668449710939086,31.0,18.0,2.0,2014,4,47941,1.0,,1.0,1.0,4.447852760736196,0.0,4.545454545454546,22.979397781299525,29.411764705882355,22.61306532663317,16.164817749603806,23.52941176470588,15.745393634840871
24,46,N02481827,21.0,FOR000H,6,,,,110.0,283.0,271,0,154.0,0,1.0,2.0,2.0,0.0,0.0,2,2.0,2,8.0,1.0,1.0,4.195730240493012,1.3053112619994165,64.0,11.0,8.0,2.84686606940135,0.9187318087588008,2.0,1.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,154.0,1,,,,,,,2.0,88.0,4.390700953841188,0.0,0.0,0.0,,,,,,,6.0,1342.0,4.130740002710287,1.0,1.0,1.0,57.0,1044.0,4.122091341649859,10.0,7.0,1.0,2012,3,47941,0.0,0.0,0.0,0.0,1.6824395373291272,10.0,1.5037593984962403,32.96903460837887,40.81632653061224,32.60247855100095,25.40983606557377,32.6530612244898,25.07149666348904
25,47,N02481827,21.0,FOR000H,7,,,,91.0,282.0,10,0,0.0,0,0.0,0.0,2.0,0.0,0.0,1,1.0,3,,,,,,65.0,12.0,9.0,,,,,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.19722457733622,99.0,1.0,2.19722457733622,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,66.0,1342.0,4.177320364845159,12.0,9.0,3.0,2012,8,49851,1.0,,1.0,1.0,3.128153380423814,26.923076923076923,2.4870466321243523,26.6839378238342,29.89690721649485,26.390197926484447,18.73920552677029,20.61855670103093,18.567389255419418
26,48,N02489367,21.0,FOR000H,6,,,,91.0,293.0,250,0,0.0,0,3.0,0.0,0.0,0.0,0.0,1,1.0,1,7.0,4.0,4.0,5.09958196783254,2.44938077772038,69.0,28.0,24.0,,,,,0,0,2,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.912654885736052,99.0,1.0,4.912654885736052,99.0,48.0,0,1.0,396.0,5.981414211254481,1.0,1.0,0.0,1.0,5182.0,8.552946361122055,1.0,1.0,1.0,,,,,,,5.0,1112.0,4.232542640490248,2.0,2.0,1.0,62.0,1462.0,4.61200475235336,24.0,20.0,1.0,2012,5,9999999,1.0,1.0,1.0,1.0,1.3861386138613865,2.631578947368421,1.337448559670782,37.67572633552015,34.45378151260504,38.08016877637131,30.2717900656045,27.73109243697479,30.590717299578056
27,49,N02489367,21.0,FOR000H,6,,,,91.0,293.0,261,0,0.0,0,3.0,0.0,0.0,0.0,0.0,2,2.0,2,7.0,4.0,4.0,5.09958196783254,2.44938077772038,69.0,28.0,24.0,,,,,0,0,1,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.912654885736052,99.0,1.0,4.912654885736052,99.0,59.0,0,1.0,396.0,5.981414211254481,1.0,1.0,0.0,1.0,5182.0,8.552946361122055,1.0,1.0,1.0,,,,,,,5.0,1112.0,4.232542640490248,2.0,2.0,1.0,62.0,1462.0,4.61200475235336,24.0,20.0,1.0,2012,6,49851,1.0,1.0,1.0,1.0,0.8840864440078585,0.0,0.9081735620585268,37.67572633552015,34.45378151260504,38.08016877637131,30.2717900656045,27.73109243697479,30.590717299578056
28,50,N02489367,300.0,FOR000H,6,,,,91.0,293.0,277,0,0.0,0,3.0,0.0,0.0,0.0,0.0,3,1.0,3,8.0,5.0,5.0,5.510120514866199,2.54769205044277,70.0,29.0,25.0,,,,,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.912654885736052,99.0,1.0,4.912654885736052,99.0,75.0,0,,,,,,,1.0,396.0,5.981414211254481,1.0,1.0,0.0,1.0,5182.0,8.552946361122055,1.0,1.0,1.0,5.0,1112.0,4.232542640490248,2.0,2.0,1.0,62.0,1462.0,4.61200475235336,24.0,20.0,1.0,2012,6,49851,1.0,,1.0,1.0,1.9157088122605364,2.702702702702702,1.8867924528301887,39.81481481481482,33.80281690140845,40.72494669509595,31.11111111111111,25.352112676056336,31.982942430703627
29,51,N02489379,21.0,FOR000H,6,,,,56.0,,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,,,,,,60.0,42.0,38.0,,,,,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,60.0,2307.0,5.330869060495288,42.0,38.0,2.0,2012,8,9999999,1.0,,1.0,1.0,3.128153380423814,6.25,3.076923076923077,26.6839378238342,29.89690721649485,26.390197926484447,18.73920552677029,20.61855670103093,18.567389255419418
30,52,N02493496,11.0,FOR000H,5,,,,116.0,278.0,143,0,0.0,0,2.0,1.0,1.0,0.0,0.0,1,1.0,1,4.0,3.0,2.0,5.412632283758223,0.658194832325083,62.0,23.0,20.0,,,,,0,0,0,0,0,1,1.0,0.0,1.0,0.0,7.0,3.0,2.0,5.888413504378303,0.3586783608318172,3.0,5.341774083601988,0.9801882739068516,14.0,0,1.0,543.0,6.297109319933935,1.0,1.0,0.0,1.0,114.0,4.736198448394496,0.0,0.0,0.0,1.0,176.0,5.170483995038151,1.0,0.0,0.0,1.0,232.0,5.44673737166631,1.0,1.0,0.0,58.0,725.0,4.608328077251192,20.0,18.0,0.0,2012,2,9999999,0.0,0.0,0.0,,4.954499494438827,4.0,4.979253112033195,31.200701139351445,40.74074074074074,30.726770929162832,24.45223488168273,38.88888888888889,23.73505059797608
31,55,N02497004,11.0,FOR000H,8,,,,88.0,285.0,153,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,1.0,2,5.0,1.0,1.0,4.439476211467346,1.1078051206236958,72.0,34.0,21.0,,,,,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.68213122712422,99.0,1.0,4.68213122712422,99.0,16.0,0,1.0,45.0,3.80666248977032,0.0,0.0,0.0,,,,,,,2.0,46.0,3.74610152130937,0.0,0.0,0.0,1.0,98.0,4.584967478670572,0.0,0.0,0.0,68.0,7708.0,5.062217077109124,33.0,20.0,1.0,2012,11,49851,1.0,,1.0,1.0,2.734731084776664,8.571428571428571,2.5423728813559325,21.81008902077152,17.647058823529413,22.27722772277228,15.875370919881307,16.176470588235293,15.84158415841584
32,58,N02500833,12.0,FOR000H,5,,,,106.0,,299,0,162.0,0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,10.0,3.0,3.0,4.734711795855381,1.205876704185692,63.0,8.0,6.0,5.10594547390058,99.0,1.0,1.0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,218.0,0,1.0,148.0,4.997212273764115,0.0,0.0,0.0,1.0,83.0,4.418840607796598,0.0,0.0,0.0,1.0,202.0,5.308267697401205,1.0,1.0,0.0,7.0,1644.0,4.660399625655985,2.0,2.0,1.0,54.0,449.0,4.27552427699052,5.0,3.0,0.0,2012,2,9999999,0.0,1.0,,0.0,3.819095477386935,5.88235294117647,3.783231083844581,31.200701139351445,40.74074074074074,30.726770929162832,24.45223488168273,38.88888888888889,23.73505059797608
33,59,N02500833,11.0,FOR000H,5,,,,106.0,,320,0,183.0,0,1.0,0.0,0.0,0.0,0.0,2,1.0,2,11.0,4.0,4.0,5.098246547310624,1.6620642086874535,64.0,9.0,7.0,5.10594547390058,99.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,239.0,0,2.0,6208.0,6.865403167813585,1.0,1.0,1.0,,,,,,,1.0,83.0,4.418840607796598,0.0,0.0,0.0,8.0,1644.0,4.7413831346241375,3.0,3.0,1.0,54.0,449.0,4.27552427699052,5.0,3.0,0.0,2012,2,38696,0.0,0.0,0.0,0.0,4.86322188449848,4.3478260869565215,4.875518672199171,32.96903460837887,40.81632653061224,32.60247855100095,25.40983606557377,32.6530612244898,25.07149666348904
34,60,N02500833,12.0,FOR000H,6,,,,92.0,265.0,48,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,3,1.0,1.0,0.0,5.10594547390058,99.0,65.0,10.0,7.0,,,,,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,165.0,5.10594547390058,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,65.0,6208.0,4.416929667201789,9.0,7.0,2.0,2012,7,49851,1.0,,1.0,1.0,2.4485798237022527,2.7777777777777777,2.4365482233502536,33.36252189141856,34.88372093023256,33.16880552813426,25.65674255691769,25.58139534883721,25.666337611056267
